manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
Kramer,KDS-100,KDS-100,,AVoIP,AV over IP decoder,decoder,review,sku-seed,AVoIP,,1,UHD 4K60,,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""RS-232"", ""TCP/IP""]","[""Balanced Audio Out"", ""AES67""]","[""Open-standard H.264/H.265 streaming"", ""~40ms end-to-end latency with KDS-100 encoder"", ""Supports up to 1000 sources"", ""HDCP 1.4/2.2"", ""PoE+ or 12VDC""]","{""video"": {""maxResolution"": ""UHD 4K60"", ""latencyMs"": 40}, ""hdcp"": [""1.4"", ""2.2""]}","Kramer KDS-100 open-standard H.264/H.265 AVoIP decoder delivering UHD 4K60 video with ~40ms latency, AES67 audio, PoE+, and support for up to 1000 network sources.",Kramer markets separate KDS-100DEC (decoder) and KDS-100EN (encoder) SKUs; source feed model 'KDS-100' is treated here as the decoder — verify exact part suffix before quoting.,NetworkHD 100 (standard 1GbE AVoIP decoder),NHD-120-RX,medium,https://www1.kramerav.com/Product/KDS-100DEC,2026-07-05,Claude research pass,"Matched to Kramer KDS-100DEC (decoder side of the KDS-100 family): open-standard H.264/H.265, 4K60, ~40ms latency, AES67, PoE+/12VDC. Confidence set to medium pending exact SKU suffix confirmation.",[],,,,,,,
Kramer,KDS-7-DEC7,KDS-7-DEC7,,AVOIP,,Decoder,review,curated-fingerprint,,1,1,4K60 4:2:0 (HDR10 up to 4K30 4:2:2 12-bit),,AVOIP,,,"[{""type"": ""LAN"", ""count"": 2}]","[{""type"": ""HDMI"", ""count"": 1}]","[""USB over IP"", ""IR over IP"", ""RS-232 over IP"", ""CEC over IP""]","[""Embedded Audio""]","[""High-performance, highly-scalable AVoIP decoder"", ""HDR10 support"", ""Unicast/multicast"", ""Video wall up to 16x16"", ""PoE"", ""1G network""]","{""video"": {""maxResolution"": ""4K60 4:2:0"", ""hdr"": true}, ""videoWall"": {""maxGrid"": ""16x16""}, ""power"": {""weightKg"": 0.7}}","Kramer KDS-DEC7 (KDS-7 family decoder) is a high-performance AVoIP decoder for 4K60 4:2:0 over 1G networks with HDR10 support, USB/IR/RS-232/CEC-over-IP, and video walls up to 16x16.",,NetworkHD 100 (standard 1GbE AVoIP decoder),NHD-120-RX,medium,https://www1.kramerav.com/product/KDS-DEC7,2026-07-12,Claude research pass,,"[""kds7dec7""]",,,,,,,
Kramer,KDS-7-EN7,KDS-7-EN7,,AVOIP,,Encoder,review,curated-fingerprint,,1,1,In: 4K60 4:2:0 / Out: 4K30 4:4:4,,AVOIP,,,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Balanced Audio"", ""count"": 1}, {""type"": ""USB-B"", ""count"": 1}, {""type"": ""IR"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""LAN"", ""count"": 2}]","[""RS-232"", ""802.1x"", ""HTTPS/TLS""]","[""Embedded Audio""]","[""H.265 (HEVC) compression"", ""33ms end-to-end latency"", ""Up to 999 channels / 16x16 video walls"", ""1-second switching"", ""802.1x, HTTPS/TLS security""]","{""video"": {""maxInputResolution"": ""4K60 4:2:0"", ""maxOutputResolution"": ""4K30 4:4:4"", ""latencyMs"": 33}, ""network"": {""peakMbps"": 850, ""avg4kMbps"": 350, ""avg1080pMbps"": 250}, ""videoWall"": {""maxGrid"": ""16x16""}}","Kramer KDS-EN7 (KDS-7 family encoder) is a high-performance H.265 AVoIP encoder for 4K60 4:2:0 input with 33ms latency, up to 999-channel scalability, 16x16 video walls, and 802.1x/TLS security.",,NetworkHD 100 (standard 1GbE AVoIP encoder),NHD-120-TX,medium,https://www1.kramerav.com/product/kds-en7,2026-07-12,Claude research pass,,"[""kds7en7""]",,,,,,,
Kramer,KDS-DEC6,KDS-DEC6,,AVoIP,AV over IP decoder,decoder,review,sku-seed,AVoIP,,1,4K60 4:2:0,,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN"", ""count"": 2}, {""type"": ""IR (Rx)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""USB-A"", ""count"": 2}, {""type"": ""IR (Tx)"", ""count"": 1}]","[""RS-232"", ""USB over IP"", ""IR over IP""]","[""HDMI/Line embedded"", ""7.1 PCM"", ""Dolby TrueHD"", ""DTS-HD Master""]","[""Proprietary codec (JPEG2000-based)"", ""HDCP 2.2"", ""Unicast/multicast (IGMP snooping, managed L2)"", ""Video wall 1-256 screens"", ""USB, IR, RS-232 over IP"", ""PoE""]","{""video"": {""maxResolution"": ""4K60 4:2:0""}, ""videoWall"": {""maxScreens"": 256}}","Kramer KDS-DEC6 proprietary-codec AVoIP decoder for 4K60 4:2:0 with HDCP 2.2, USB/IR/RS-232-over-IP, and video wall support up to 256 screens; superseded by KDS-DEC7.",Discontinued/superseded by KDS-DEC7 per Kramer product pages.,"NetworkHD 500 (premium AVoIP decoder, USB/IR)",NHD-500-RX,high,https://www1.kramerav.com/us/Product/KDS-DEC6,2026-07-05,Claude research pass,"Verified via Kramer official KDS-DEC6 page: 4K60 4:2:0, HDCP2.2, USB/IR/RS232-over-IP, video wall to 256 screens. Kramer lists this as replaced by KDS-DEC7.",[],,,,,,,
Kramer,KDS-DEC7,KDS-DEC7,KDS,AVoIP,AV over IP decoder,decoder,approved,structured-catalog,AVoIP,,1,4K60 4:2:0 (HDR10 up to 4K30 4:2:2 12-bit),,AVOIP,endpoint,unidirectional,"[{""type"":""LAN"",""count"":2}]","[{""type"": ""HDMI"", ""count"": 1}]","[""USB over IP"", ""IR over IP"", ""RS-232 over IP"", ""CEC over IP""]","[""Embedded Audio""]","[""High-performance, highly-scalable AVoIP decoder"", ""HDR10 support"", ""Unicast/multicast"", ""Video wall up to 16x16"", ""PoE"", ""1G network""]","{""video"": {""maxResolution"": ""4K60 4:2:0"", ""hdr"": true}, ""videoWall"": {""maxGrid"": ""16x16""}, ""power"": {""weightKg"": 0.7}}","Kramer KDS-DEC7 high-performance AVoIP decoder for 4K60 4:2:0 over 1G networks with HDR10 support, USB/IR/RS-232/CEC-over-IP, and video walls up to 16x16.",,NetworkHD 500 (premium AVoIP decoder),NHD-500-RX,high,https://www1.kramerav.com/product/KDS-DEC7,2026-07-05,Claude research pass,"Official Kramer KDS-DEC7 page. | src/competitor/competitors.json#6 merged into deployed competitor catalog. | data/product-intelligence-db.json#33 merged into deployed competitor catalog. | data/product-intelligence-db.json#42 merged into deployed competitor catalog. | data/product-intelligence-db.json#67 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Kramer KDS products are AV-over-IP endpoints for distributed routing, with some edge models adding local switching. | Compare KDS EN, DEC, and SW endpoints against AVoIP products by endpoint role, not against plain matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#65 merged into deployed competitor catalog. | Verified via Kramer official/distributor KDS-DEC7 data: 4K60 4:2:0 with HDR10, 16x16 video wall, USB/IR/RS232/CEC over IP, PoE, current-generation replacement for KDS-DEC6.",[],,,,,,,
Kramer,KDS-EN6,KDS-EN6,,AVoIP,AV over IP encoder,encoder,review,sku-seed,AVoIP,1,,4K60 4:2:0,,AVOIP,endpoint,unidirectional,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Audio (3.5mm)"", ""count"": 1}, {""type"": ""USB-B"", ""count"": 1}, {""type"": ""IR (Rx)"", ""count"": 1}]","[{""type"": ""LAN"", ""count"": 1}, {""type"": ""IR (Tx)"", ""count"": 1}]","[""RS-232"", ""Kramer Network"", ""Web UI"", ""API""]","[""HDMI/Line embedded"", ""7.1 PCM"", ""Dolby TrueHD"", ""DTS-HD Master""]","[""JPEG2000 compression"", ""HDCP 2.2"", ""Unicast/multicast (IGMP snooping, managed L2)"", ""Peak 850Mbps, 4K avg 350Mbps, 1080p avg 250Mbps"", ""PoE""]","{""video"": {""maxResolution"": ""4K60 4:2:0""}, ""network"": {""peakMbps"": 850, ""avg4kMbps"": 350, ""avg1080pMbps"": 250}}","Kramer KDS-EN6 JPEG2000-based AVoIP encoder for 4K60 4:2:0 with HDCP 2.2, unicast/multicast streaming, and PoE power.",,"NetworkHD 500 (premium AVoIP encoder, USB/IR)",NHD-500-TX,high,https://k.kramerav.com/downloads/pdf/product/1/KDS-EN6.pdf,2026-07-05,Claude research pass,"Verified via official Kramer KDS-EN6 spec sheet PDF: JPEG2000 compression, 4K60 4:2:0, HDCP2.2, bitrate 350-850Mbps, PoE.",[],,,,,,,
Kramer,KDS-EN7,KDS-EN7,KDS,AVoIP,AV over IP encoder,encoder,approved,structured-catalog,AVoIP,1,,In: 4K60 4:2:0 / Out: 4K30 4:4:4,,AVOIP,endpoint,unidirectional,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Balanced Audio"", ""count"": 1}, {""type"": ""USB-B"", ""count"": 1}, {""type"": ""IR"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""LAN"", ""count"": 2}]","[""RS-232"", ""802.1x"", ""HTTPS/TLS""]","[""Embedded Audio""]","[""H.265 (HEVC) compression"", ""33ms end-to-end latency"", ""Up to 999 channels / 16x16 video walls"", ""1-second switching"", ""802.1x, HTTPS/TLS security""]","{""video"": {""maxInputResolution"": ""4K60 4:2:0"", ""maxOutputResolution"": ""4K30 4:4:4"", ""latencyMs"": 33}, ""network"": {""peakMbps"": 850, ""avg4kMbps"": 350, ""avg1080pMbps"": 250}, ""videoWall"": {""maxGrid"": ""16x16""}}","Kramer KDS-EN7 high-performance H.265 AVoIP encoder for 4K60 4:2:0 input with 33ms latency, up to 999-channel scalability, 16x16 video walls, and 802.1x/TLS security.",,NetworkHD 500 (premium AVoIP encoder),NHD-500-TX,high,https://www1.kramerav.com/product/kds-en7,2026-07-05,Claude research pass,"Official Kramer KDS-EN7 page. | src/competitor/competitors.json#5 merged into deployed competitor catalog. | data/product-intelligence-db.json#34 merged into deployed competitor catalog. | data/product-intelligence-db.json#43 merged into deployed competitor catalog. | data/product-intelligence-db.json#68 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Kramer KDS products are AV-over-IP endpoints for distributed routing, with some edge models adding local switching. | Compare KDS EN, DEC, and SW endpoints against AVoIP products by endpoint role, not against plain matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#66 merged into deployed competitor catalog. | Verified via Kramer official/distributor KDS-EN7 data: H.265, 4K60 4:2:0 in, 33ms latency, 16x16 video wall, 802.1x/TLS.",[],,,,,,,
Kramer,KDS-USB2,KDS-USB2,KDS,Extender,USB Extender,extender,approved,structured-catalog,Local,1,4,,,EXTENSION,point-to-multipoint,bidirectional,"[{""type"": ""USB-B (host)"", ""count"": 1}, {""type"": ""CAT5/6"", ""count"": 1}]","[{""type"": ""USB-A"", ""count"": 4}, {""type"": ""CAT5/6"", ""count"": 1}]",[],[],"[""USB 2.0 extension up to 100m over CAT5e/6/7 or 10km over fiber"", ""480Mbps throughput"", ""Driverless, cross-platform"", ""Up to 7 decoders per encoder/host"", ""5V/500mA per decoder port""]","{""distance"": {""copperMeters"": 100, ""fiberKm"": 10}, ""usb"": {""throughputMbps"": 480, ""maxDecodersPerEncoder"": 7}}","Kramer KDS-USB2 USB 2.0 extension encoder/decoder kit extending USB peripherals up to 100m (copper) or 10km (fiber) at up to 480Mbps, with up to 7 decoders per host.",,USB extender,EX-60-USB2 (USB 2.0 extender with 4-port hub),high,https://www1.kramerav.com/product/KDS-USB2,2026-07-05,Claude research pass,"Official Kramer KDS-USB2 page. | data/product-intelligence-db.json#35 merged into deployed competitor catalog. | data/product-intelligence-db.json#44 merged into deployed competitor catalog. | data/product-intelligence-db.json#69 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Kramer KDS-USB products are USB extension platforms for host and device routing. | Compare KDS-USB against USB extension and KVM products rather than AVoIP video endpoints. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#67 merged into deployed competitor catalog. | Verified via Kramer official KDS-USB2 page: USB2.0 extension to 100m copper/10km fiber, 480Mbps, driverless, up to 7 decoders per encoder.",[],,,,,,,
Kramer,TP-580T,TP-580T,TP,Extender,HDBaseT Transmitter,transmitter,approved,structured-catalog,HDBaseT,1,1,4K60 4:2:0 (24bpp),,HDBASET,point-to-point,unidirectional,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""HDBaseT"", ""count"": 1}]","[""RS-232"", ""IR""]","[""HDMI Embedded Audio"", ""Dolby TrueHD"", ""DTS-HD""]","[""Long-reach HDBaseT to 40m at 4K60 4:2:0"", ""10.2Gbps max data rate"", ""HDCP 2.2"", ""Bidirectional RS-232/IR"", ""EDID pass-through""]","{""video"": {""maxResolution"": ""4K60 4:2:0""}, ""distance"": {""meters"": 40}, ""power"": {""dc"": ""12V"", ""consumptionMa"": 275}}","Kramer TP-580T long-reach HDBaseT transmitter delivering 4K60 4:2:0 HDMI plus bidirectional RS-232/IR up to 40m over category cable, HDCP 2.2 compliant.",,HDBaseT transmitter,TX-35-IW,high,https://www1.kramerav.com/product/tp-580t,2026-07-05,Claude research pass,"Official Kramer TP-580T page. | data/product-intelligence-db.json#36 merged into deployed competitor catalog. | data/product-intelligence-db.json#45 merged into deployed competitor catalog. | data/product-intelligence-db.json#70 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Kramer TP products are long-reach HDBaseT transport extenders. | Compare TP products against HDBaseT extenders rather than switchers or AVoIP products. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#68 merged into deployed competitor catalog. | Verified via Kramer official TP-580T page: 40m reach at 4K60 4:2:0, 10.2Gbps, HDCP2.2, bidirectional RS-232/IR.",[],,,,,,,
Kramer,VIA-GO2,VIA GO2,VIA,Wireless Presentation,Wireless Presentation Hub,receiver / hub,approved,structured-catalog,Wireless,,1,4K30,,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""LAN"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""Web UI"", ""VIA Site Management""]","[""HDMI Embedded Audio""]","[""AirPlay, Miracast, Chromebook mirroring"", ""2 simultaneous presenters on main display"", ""2.4/5GHz Wi-Fi + LAN, MIMO antennas"", ""1024-bit encryption"", ""USB 2.0 + USB 3.0 host ports"", ""CEC display power control""]","{""video"": {""maxResolution"": ""4K30""}, ""wireless"": {""bands"": [""2.4GHz"", ""5GHz""]}, ""security"": {""encryptionBits"": 1024}}","Kramer VIA GO2 compact wireless presentation device supporting 4K30 mirroring (AirPlay/Miracast/Chromebook), dual Wi-Fi/LAN connectivity, 1024-bit encryption, and two simultaneous presenters.",,Wireless presentation hub,APO-DG2,high,https://www1.kramerav.com/us/product/via%20go%C2%B2,2026-07-05,Claude research pass,"Official Kramer VIA GO2 page. | data/product-intelligence-db.json#37 merged into deployed competitor catalog. | data/product-intelligence-db.json#46 merged into deployed competitor catalog. | data/product-intelligence-db.json#71 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Kramer VIA products are wireless presentation and collaboration hubs. | Compare VIA products against wireless presentation and BYOD room devices, not matrices or extenders. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#69 merged into deployed competitor catalog. | Verified via Kramer official VIA GO2 page: 4K30 mirroring, AirPlay/Miracast/Chromebook, dual-band Wi-Fi+LAN, 1024-bit encryption, 2 simultaneous presenters.",[],,,,,,,
